max,min,extra,extra1,prox
 28ºmáx 
 13ºmin 
     Prob. de Chuva  0% • 0mm       Nascer do Sol  06:39       Pôr do Sol  17:51   
  Ver Mais       Vento  20km/h • ESE/E     UV  Raios UV  extremo       Umidade  57%   33%   
    Terça-feira     27º   13º   Quarta-feira     26º   13º   Quinta-feira     26º   12º   Sexta-feira     27º   12º      Sábado *     26º   13º   Domingo *     25º   13º   Segunda-feira *     25º   12º   Terça-feira *     25º   13º     * estimativa aproximada 
